location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,verified,application_date,works_outside_US
"Bexar, TX",Texas,0,24,'critical/other existing credit','new car',1287,0,>=7,4,'female div/dep/mar',none,4,'real estate',37,none,own,2,skilled,1,yes,N,G,?,7/21/1995,n
"Norfolk, VA",Virginia,-862.49,42,'critical/other existing credit',repairs,3394,96.37,unemployed,4,'male single','co applicant',4,car,65,none,own,2,'unemp/unskilled non res',1,none,Y,B,?,7/22/1995,Y
"Richmond, VA",Virginia,8529.36,12,'all paid',business,609,65.35,<1,4,'female div/dep/mar',none,?,'real estate',26,none,own,1,'unemp/unskilled non res',1,none,Yes,Bad,?,7/23/1995,YES
"Milwaukee, WI",Wisconsin,0,12,'existing paid','new car',1884,0,>=7,4,?,none,4,car,39,none,own,1,'high qualif/self emp/mgmt',1,?,1,good,?,7/24/1995,1
"Maricopa, AZ",Arizona,-3497.13,12,'existing paid',furniture/equipment,?,62.94,?,2,'female div/dep/mar','co applicant',3,?,30,none,own,1,skilled,?,none,yes,Bad,?,7/25/1995,yes
"Alameda, CA",California,105.82,20,'delayed previously',other,2629,51.43,1<=X<4,2,?,none,3,car,29,bank,own,2,skilled,1,yes,No,G,?,7/26/1995,NO
"Los Angeles, CA",California,0,12,'existing paid',education,719,0,>=7,4,'male single',none,4,car,41,bank,own,1,'unskilled resident',2,none,n,Bad,?,7/27/1995,N
"Los Angeles, CA",California,197.33,48,'critical/other existing credit',furniture/equipment,5096,66.53,1<=X<4,2,'female div/dep/mar',none,3,car,30,none,own,1,'high qualif/self emp/mgmt',1,yes,YES,B,?,7/28/1995,YES
"Sacramento, CA",California,0,9,'critical/other existing credit',education,1244,0,>=7,4,'female div/dep/mar',none,4,'life insurance',?,none,rent,2,'unskilled resident',1,none,N,Good,?,7/29/1995,n
"San Diego, CA",California,-616.99,36,'existing paid','new car',1842,39.36,<1,4,'female div/dep/mar',none,4,car,34,none,own,1,skilled,1,yes,YES,G,?,7/30/1995,YES
"San Francisco, CA",California,44.66,7,'existing paid',?,2576,70,1<=X<4,2,?,guarantor,2,'real estate',35,none,own,1,skilled,1,none,no,B,?,7/31/1995,no
District of Columbia,District of Columbia,4343.18,12,'existing paid',furniture/equipment,1424,0,>=7,3,'female div/dep/mar',none,4,'real estate',?,none,own,1,'high qualif/self emp/mgmt',?,?,yes,G,?,8/1/1995,yes
"Chatham, GA",Georgia,61.71,?,'delayed previously',repairs,1512,5269.98,1<=X<4,3,?,none,3,'life insurance',61,stores,?,2,skilled,1,none,n,G,?,8/2/1995,N
"De Kalb, GA",Georgia,0,36,'critical/other existing credit','used car',11054,0,1<=X<4,?,'male single',none,2,car,30,?,own,1,'high qualif/self emp/mgmt',1,yes,YES,bad,?,8/3/1995,YES
"Fulton, GA",Georgia,0,?,'existing paid',radio/tv,518,0,1<=X<4,3,'female div/dep/mar',none,1,'real estate',29,none,own,1,skilled,1,none,Y,GOOD,?,8/4/1995,Y
"Cook, IL",Illinois,0,12,'no credits/all paid',furniture/equipment,2759,0,>=7,2,'male single',none,4,'life insurance',34,none,own,2,skilled,1,none,y,good,?,8/5/1995,y
"Marion, IN",Indiana,0,24,'existing paid','used car',2670,0,>=7,4,'male single',none,4,car,35,?,?,1,'high qualif/self emp/mgmt',?,yes,N,G,?,8/6/1995,n
"Orleans, LA",Louisiana,-8908.17,24,'existing paid','new car',4817,50.51,4<=X<7,2,'male single','co applicant',3,'life insurance',31,none,own,1,skilled,1,yes,no,Good,?,8/7/1995,no
"Baltimore city, MD",Maryland,0,24,?,'used car',2679,0,<1,4,?,none,1,'no known property',29,none,own,1,'high qualif/self emp/mgmt',?,yes,Yes,bad,?,8/8/1995,YES
"Wayne, MI",Michigan,-6832.38,11,'critical/other existing credit','new car',?,0,1<=X<4,2,'male single',none,2,'real estate',?,none,rent,2,skilled,2,none,Yes,bad,?,8/9/1995,YES
"Jackson, MO",Missouri,-6919.2,12,'existing paid','used car',3386,33.9,>=7,?,'male single',none,4,'no known property',35,none,'for free',1,skilled,1,yes,no,Bad,?,8/10/1995,no
"St. Louis, MO",Missouri,-4746.34,6,'existing paid',?,343,39.12,<1,?,?,none,1,'real estate',27,none,own,1,skilled,1,?,y,good,?,8/11/1995,y
"Hinds, MS",Mississippi,0,18,'existing paid',radio/tv,4594,0,<1,3,'male single',none,2,car,32,none,own,1,skilled,1,yes,Y,Bad,?,8/12/1995,Y
"Mecklenburg, NC",North Carolina,-2858.08,36,'existing paid',furniture/equipment,3620,9.41,1<=X<4,1,'male single',guarantor,2,'life insurance',37,none,own,1,skilled,2,none,y,Bad,?,8/13/1995,y
"Camden, NJ",New Jersey,-8901.73,15,'existing paid','new car',?,0,<1,2,'male single',none,3,'real estate',36,none,own,?,skilled,1,none,Yes,G,?,8/14/1995,YES
"Essex, NJ",New Jersey,113.17,12,'existing paid',furniture/equipment,3017,0,<1,3,'female div/dep/mar',none,1,'real estate',34,none,rent,1,'high qualif/self emp/mgmt',1,none,y,G,?,8/15/1995,y
"Clark, NV",Nevada,195.88,12,'existing paid',retraining,?,0,>=7,4,'male single',none,4,'life insurance',38,none,own,2,skilled,1,none,Y,G,?,8/16/1995,Y
"New York, NY",New York,0,18,'existing paid',business,1950,0,4<=X<7,4,'male single',none,1,car,34,stores,own,2,skilled,1,yes,N,GOOD,?,8/17/1995,n
"Suffolk, NY",New York,-3581.55,24,'existing paid','used car',2924,25.66,1<=X<4,3,'male single',?,4,'no known property',63,bank,?,?,?,2,yes,no,Bad,?,8/18/1995,no
"Multnomah, OR",Oregon,-2336.07,24,'delayed previously',radio/tv,1659,92.06,<1,4,'female div/dep/mar',none,2,car,29,none,rent,1,'unskilled resident',1,yes,no,bad,?,8/19/1995,no
"Philadelphia, PA",Pennsylvania,0,48,'delayed previously',radio/tv,7238,0,>=7,3,'male single',none,3,car,32,?,own,2,?,2,none,YES,good,?,8/20/1995,YES
"Davidson, TN",Tennessee,0,?,?,business,2764,0,1<=X<4,2,'female div/dep/mar',none,2,car,26,none,own,?,skilled,1,yes,1,good,?,8/21/1995,1
"Shelby, TN",Tennessee,0,24,?,?,4679,0,4<=X<7,?,'male single',none,3,car,35,none,own,2,'unskilled resident',1,yes,yes,Good,?,8/22/1995,yes
"Travis, TX",Texas,46.31,24,'existing paid',radio/tv,?,324.97,<1,3,'male mar/wid',none,2,car,22,none,rent,1,skilled,1,yes,Yes,G,?,8/23/1995,YES
"Dallas, TX",Texas,-9963.11,?,'existing paid',education,448,37.26,<1,4,?,none,4,'life insurance',23,?,own,1,skilled,1,?,NO,G,?,8/24/1995,NO
"Harris, TX",Texas,0,?,'existing paid','new car',654,0,1<=X<4,4,'male single',?,3,car,28,none,own,1,'unskilled resident',1,none,No,GOOD,?,8/25/1995,NO
"Bexar, TX",Texas,0,6,'existing paid',retraining,1238,0,unemployed,4,?,none,?,'life insurance',36,none,own,1,'high qualif/self emp/mgmt',2,yes,N,bad,?,8/26/1995,n
"Milwaukee, WI",Wisconsin,0,18,'critical/other existing credit',radio/tv,1245,0,1<=X<4,4,'male mar/wid',none,?,car,33,none,?,1,skilled,1,none,No,Good,?,8/27/1995,NO
"Maricopa, AZ",Arizona,-4938.47,18,'no credits/all paid',furniture/equipment,3114,28.84,<1,1,'female div/dep/mar',?,4,'life insurance',26,none,?,1,skilled,1,none,1,B,?,8/28/1995,1
"Alameda, CA",California,0,39,'existing paid','used car',2569,0,1<=X<4,4,'male single',none,4,car,?,none,own,1,skilled,1,none,Y,GOOD,?,8/29/1995,Y
"Los Angeles, CA",California,1525.11,24,'existing paid',radio/tv,5152,12.95,4<=X<7,4,'male single',none,?,car,25,bank,own,1,skilled,1,none,1,Bad,?,8/30/1995,1
"Sacramento, CA",California,137.94,12,'existing paid',business,1037,446.02,4<=X<7,3,'male single',none,4,'real estate',12334539,none,own,1,'unskilled resident',1,none,Yes,good,?,8/31/1995,YES
"San Diego, CA",California,-1277.22,15,'critical/other existing credit',furniture/equipment,1478,0,>=7,4,'male single',?,4,car,?,none,own,2,skilled,2,yes,Y,bad,?,9/1/1995,Y
"San Francisco, CA",California,28.6,12,?,radio/tv,3573,0,1<=X<4,1,'female div/dep/mar',none,?,'real estate',23,none,own,1,'unskilled resident',?,none,Y,bad,?,9/2/1995,Y
"Fulton, GA",Georgia,35.33,24,'existing paid','new car',1201,98.3,<1,4,'male single',none,1,'life insurance',26,none,?,1,skilled,1,none,Y,B,?,9/3/1995,Y
"Cook, IL",Illinois,-429.47,30,'existing paid',furniture/equipment,3622,3227.17,?,4,?,?,4,?,57,none,rent,2,skilled,1,yes,no,G,?,9/4/1995,no
"Marion, IN",Indiana,0,15,'delayed previously',furniture/equipment,960,0,4<=X<7,3,'female div/dep/mar',none,2,'life insurance',30,none,own,2,skilled,1,none,Yes,bad,?,9/5/1995,YES
"Orleans, LA",Louisiana,0,12,'critical/other existing credit','new car',1163,0,1<=X<4,4,'male single',?,4,'real estate',44,none,own,1,skilled,1,?,1,good,?,9/6/1995,1
"Baltimore city, MD",Maryland,6.78,6,?,'new car',1209,78.37,unemployed,4,'male single',none,4,'life insurance',47,none,own,1,'high qualif/self emp/mgmt',1,yes,No,Good,?,9/7/1995,NO
"Wayne, MI",Michigan,0,12,'existing paid',?,3077,0,1<=X<4,2,?,none,4,car,52,none,own,1,skilled,1,yes,Y,good,?,9/8/1995,Y
"St. Louis, MO",Missouri,0,?,?,?,3757,0,?,4,'female div/dep/mar','co applicant',?,'no known property',62,none,'for free',1,skilled,1,yes,n,G,?,9/9/1995,N
"Camden, NJ",New Jersey,0,10,'existing paid',?,1418,0,1<=X<4,3,'male single',none,?,'real estate',35,none,rent,1,'unskilled resident',1,?,Yes,bad,?,9/10/1995,YES
"Essex, NJ",New Jersey,0,6,'existing paid',?,3518,0,1<=X<4,2,'male single',guarantor,3,'life insurance',26,none,rent,1,skilled,1,none,n,B,?,9/11/1995,N
"Clark, NV",Nevada,0,12,'critical/other existing credit',radio/tv,1934,0,>=7,2,'male single',none,2,'no known property',?,none,own,2,skilled,1234556,none,YES,G,?,9/12/1995,YES
"New York, NY",New York,156.83,?,?,business,8318,84.15,>=7,2,'female div/dep/mar',none,4,'no known property',?,none,'for free',2,'high qualif/self emp/mgmt',1,yes,No,B,?,9/13/1995,NO
"Philadelphia, PA",Pennsylvania,0,6,'critical/other existing credit',radio/tv,1237,0,?,1,'female div/dep/mar',none,1,'life insurance',27,none,own,2,skilled,?,none,N,GOOD,?,9/14/1995,n
"Shelby, TN",Tennessee,19.96,6,'existing paid',radio/tv,368,0,?,4,?,none,4,'life insurance',38,none,own,1,skilled,1,none,Y,good,?,9/15/1995,Y
"Travis, TX",Texas,-9227.53,12,'critical/other existing credit','new car',2122,55.13,1<=X<4,3,'male single',none,2,'real estate',?,none,rent,2,'unskilled resident',2,none,No,good,?,9/16/1995,NO
"Dallas, TX",Texas,-7638.04,24,'existing paid',furniture/equipment,2996,0,1<=X<4,2,'male mar/wid',?,4,car,20,none,own,1,skilled,1,none,NO,bad,?,9/17/1995,NO
"Harris, TX",Texas,180.86,?,'existing paid',furniture/equipment,9034,242.99,<1,4,'male single','co applicant',1,'no known property',29,none,rent,1,'high qualif/self emp/mgmt',1,yes,Yes,Bad,?,9/18/1995,YES
"Bexar, TX",Texas,0,24,'critical/other existing credit',furniture/equipment,1585,0,4<=X<7,4,'male single',none,?,'life insurance',40,none,own,2,skilled,1,none,NO,Good,?,9/19/1995,NO
"Maricopa, AZ",Arizona,85.67,18,'existing paid',radio/tv,?,14.86,>=7,4,'male mar/wid',guarantor,2,'real estate',32,?,own,1,'unskilled resident',1,none,1,B,?,9/20/1995,1
"Alameda, CA",California,3311.7,6,'critical/other existing credit',?,1323,442.18,>=7,2,'male div/sep',none,4,car,28,?,own,2,skilled,2,yes,1,G,?,9/21/1995,1
"Los Angeles, CA",California,-5229.05,24,?,'new car',3123,17.05,?,4,'female div/dep/mar',none,1,'life insurance',27,none,own,1,skilled,1,none,YES,Good,?,9/22/1995,YES
"San Francisco, CA",California,-5239,36,'existing paid','used car',5493,0,>=7,2,'male single',none,4,'no known property',42,none,'for free',?,skilled,2,none,No,GOOD,?,9/23/1995,NO
"Fulton, GA",Georgia,6307.46,9,?,radio/tv,?,238.87,?,?,'male div/sep',none,4,?,49,none,own,1,skilled,?,none,N,bad,?,9/24/1995,n
"Cook, IL",Illinois,58.57,24,'critical/other existing credit',radio/tv,1216,354.18,<1,4,'male single',none,4,'no known property',38,bank,own,2,skilled,2,none,No,Bad,?,9/25/1995,NO
"Marion, IN",Indiana,-7648.53,24,'existing paid','new car',1207,35.15,?,4,?,none,4,'life insurance',24,none,rent,?,skilled,1,none,yes,GOOD,?,9/26/1995,yes
"Orleans, LA",Louisiana,0,10,'existing paid','new car',1309,0,1<=X<4,4,'male single',guarantor,4,'life insurance',27,none,own,1,'unskilled resident',1,none,N,G,?,9/27/1995,n
"Wayne, MI",Michigan,6026.68,15,'critical/other existing credit','used car',2360,651.95,1<=X<4,2,'male single',none,2,car,36,none,own,1,skilled,1,yes,No,good,?,9/28/1995,NO
"St. Louis, MO",Missouri,131.74,15,'all paid','new car',?,207.23,unemployed,1,'male single',none,2,'life insurance',34,?,own,1,'high qualif/self emp/mgmt',2,yes,NO,Bad,?,9/29/1995,NO
"Camden, NJ",New Jersey,0,24,'existing paid',radio/tv,?,0,1<=X<4,4,?,none,2,'life insurance',28,?,?,1,?,1,none,no,B,?,9/30/1995,no
"Essex, NJ",New Jersey,0,39,'existing paid',?,8588,0,>=7,4,'male single',none,2,car,45,none,own,1,?,1,yes,N,Good,yes,10/1/1995,n
"Clark, NV",Nevada,-113.48,12,'existing paid','new car',759,0,4<=X<7,4,'male single',none,2,'real estate',26,none,own,1,skilled,1,none,yes,bad,?,10/2/1995,yes
"New York, NY",New York,0,36,'existing paid','used car',4686,0,1<=X<4,2,?,none,2,'no known property',?,none,'for free',?,'high qualif/self emp/mgmt',1,yes,No,B,?,10/3/1995,NO
"Philadelphia, PA",Pennsylvania,7770.45,15,'existing paid',business,2687,49.54,?,2,'male single',none,4,'life insurance',26,?,rent,1,?,1,?,yes,B,?,10/4/1995,yes
"Shelby, TN",Tennessee,139.31,12,'delayed previously',radio/tv,585,55.52,1<=X<4,4,'male mar/wid','co applicant',4,'real estate',20,none,rent,2,skilled,1,?,YES,Good,?,10/5/1995,YES
"Dallas, TX",Texas,0,24,'existing paid','new car',?,0,<1,4,'male single',none,1,'life insurance',54,none,own,1,skilled,1,none,YES,GOOD,?,10/6/1995,YES
"Harris, TX",Texas,-1828.56,6,'critical/other existing credit','new car',609,0,4<=X<7,4,'female div/dep/mar',none,3,'life insurance',37,none,own,2,skilled,1,none,No,Bad,?,10/7/1995,NO
"Bexar, TX",Texas,-8733.45,6,'critical/other existing credit','new car',1361,36.33,<1,2,'male single',none,4,'real estate',40,none,?,1,'unskilled resident',2,none,1,Good,?,10/8/1995,1
"Maricopa, AZ",Arizona,0,36,'critical/other existing credit',furniture/equipment,7127,0,<1,2,'female div/dep/mar',none,4,'life insurance',23,?,rent,2,skilled,1,yes,No,Bad,?,10/9/1995,NO
"Alameda, CA",California,-2118.37,6,'existing paid','new car',1203,432.97,>=7,3,'male single',none,2,'life insurance',43,none,own,1,skilled,?,yes,n,GOOD,?,10/10/1995,N
"Los Angeles, CA",California,0,6,'critical/other existing credit',?,700,0,>=7,4,'male single',none,4,'no known property',36,none,'for free',2,skilled,1,none,1,good,?,10/11/1995,1
"San Francisco, CA",California,0,24,'critical/other existing credit',repairs,?,0,>=7,3,'male single',?,4,'no known property',44,none,'for free',2,skilled,1,none,Yes,GOOD,?,10/12/1995,YES
"Fulton, GA",Georgia,-8455.84,?,'existing paid',radio/tv,3190,45.05,?,2,'female div/dep/mar',none,2,'real estate',24,none,own,1,skilled,1,none,Y,B,?,10/13/1995,Y
"Cook, IL",Illinois,-8255.57,48,'no credits/all paid',furniture/equipment,7119,97.02,1<=X<4,3,'male single',none,4,'no known property',?,none,'for free',?,skilled,2,none,Y,GOOD,?,10/14/1995,Y
"Marion, IN",Indiana,0,24,'existing paid',?,3488,0,4<=X<7,3,'female div/dep/mar',none,4,car,?,none,own,1,skilled,1,none,No,bad,?,10/15/1995,NO
"Orleans, LA",Louisiana,1.57,?,'existing paid',radio/tv,1113,47.41,1<=X<4,4,?,guarantor,4,'real estate',26,none,own,1,'unskilled resident',?,none,YES,Bad,?,10/16/1995,YES
"Baltimore city, MD",Maryland,190.77,26,'existing paid','used car',7966,6.71,<1,2,'male single',none,3,?,30,none,own,2,skilled,1,none,1,Good,?,10/17/1995,1
"Wayne, MI",Michigan,0,15,'critical/other existing credit',education,1532,0,1<=X<4,4,'female div/dep/mar',none,3,car,31,?,own,1,?,1,none,YES,bad,?,10/18/1995,YES
"St. Louis, MO",Missouri,0,4,'critical/other existing credit',radio/tv,1503,0,4<=X<7,2,'male single',none,?,'real estate',42,none,own,2,?,2,none,No,Good,?,10/19/1995,NO
"Essex, NJ",New Jersey,-9898.01,36,'existing paid',radio/tv,2302,10.58,1<=X<4,4,'male div/sep',none,4,car,5445631,none,rent,1,skilled,1,none,no,Bad,?,10/20/1995,no
"Clark, NV",Nevada,-1149.77,6,'existing paid','new car',662,32.76,<1,3,'male single',none,4,'real estate',41,none,own,1,?,2,yes,y,good,?,10/21/1995,y
"New York, NY",New York,17.19,36,'existing paid',education,2273,6.47,4<=X<7,3,'male single',none,1,?,32,none,own,2,skilled,2,none,NO,Good,?,10/22/1995,NO
"Philadelphia, PA",Pennsylvania,97.6,15,'existing paid','new car',2631,183.61,?,2,'female div/dep/mar',none,?,car,28,none,rent,2,skilled,1,yes,Y,B,?,10/23/1995,Y
"Shelby, TN",Tennessee,0,12,'delayed previously','used car',1503,0,1<=X<4,4,'male mar/wid',none,4,'real estate',41,none,rent,1,skilled,1,none,y,G,?,10/24/1995,y
"Dallas, TX",Texas,0,24,'existing paid',radio/tv,1311,0,4<=X<7,4,'male mar/wid',none,3,'life insurance',26,none,own,1,skilled,1,yes,1,Good,?,10/25/1995,1
"Harris, TX",Texas,0,24,'existing paid',radio/tv,3105,0,<1,4,'male single',none,2,car,25,none,own,2,skilled,1,none,n,B,?,10/26/1995,N
"Bexar, TX",Texas,6101.43,21,'critical/other existing credit',education,2319,1.47,<1,2,'male div/sep',none,1,?,33,none,rent,1,skilled,1,none,No,bad,?,10/27/1995,NO
"Bexar, TX",Texas,-114.64,6,'existing paid','new car',1374,0,unemployed,?,'female div/dep/mar',none,?,'life insurance',75,?,own,1,'high qualif/self emp/mgmt',1,?,N,Bad,?,10/28/1995,n
"Los Angeles, CA",California,125.78,18,'critical/other existing credit',furniture/equipment,3612,28.3,>=7,3,'female div/dep/mar',none,4,'life insurance',?,none,?,1,skilled,1,yes,y,Good,?,10/29/1995,y
"San Francisco, CA",California,-8788.57,48,?,'new car',7763,30.91,>=7,4,'male single',none,4,'no known property',42,bank,'for free',1,'high qualif/self emp/mgmt',1,none,1,B,?,10/30/1995,1
"Fulton, GA",Georgia,2754.09,18,'existing paid',furniture/equipment,3049,30.99,<1,1,'female div/dep/mar',none,1,'life insurance',45,stores,own,1,'unskilled resident',1,none,Y,B,?,10/31/1995,Y
"Cook, IL",Illinois,137.2,12,'existing paid',radio/tv,1534,4.99,<1,1,'male mar/wid',none,1,'real estate',23,none,rent,?,skilled,1,none,no,G,?,11/1/1995,no
"Marion, IN",Indiana,0,24,'delayed previously','new car',2032,0,>=7,4,'male single',none,4,'no known property',60,none,'for free',2,?,1,yes,N,good,?,11/2/1995,n
"Orleans, LA",Louisiana,-4007.13,30,'existing paid',furniture/equipment,6350,0,>=7,4,'male single',none,4,'life insurance',31,none,own,1,skilled,1,none,n,GOOD,?,11/3/1995,N
"Baltimore city, MD",Maryland,9351.05,18,'existing paid',furniture/equipment,2864,18.37,1<=X<4,2,'male single',none,1,?,34,none,own,1,'unskilled resident',2,none,N,bad,?,11/4/1995,n
"Wayne, MI",Michigan,0,12,'critical/other existing credit','new car',1255,0,>=7,4,'male single',none,4,'real estate',61,none,own,2,'unskilled resident',1,?,N,bad,?,11/5/1995,n
"Kansas City, MO",Missouri,-643.65,24,'delayed previously','new car',1333,27.22,unemployed,4,'male single',none,2,'real estate',43,none,'for free',2,skilled,2,none,Yes,Good,?,11/6/1995,YES
"Essex, NJ",New Jersey,0,?,'critical/other existing credit','new car',2022,0,1<=X<4,4,'female div/dep/mar',none,4,car,37,none,own,1,skilled,1,yes,1,bad,?,11/7/1995,1
"Clark, NV",Nevada,0,24,'existing paid',radio/tv,1552,0,4<=X<7,?,'male single',?,1,car,32,bank,own,1,skilled,2,none,n,bad,?,11/8/1995,N
"New York, NY",New York,0,12,'all paid',radio/tv,626,0,1<=X<4,4,'female div/dep/mar',none,?,'real estate',24,bank,own,1,'unskilled resident',1,none,y,Bad,?,11/9/1995,y
"Philadelphia, PA",Pennsylvania,0,48,'critical/other existing credit','used car',8858,0,4<=X<7,2,'male single',none,1,'no known property',35,none,'for free',2,?,1,yes,NO,good,?,11/10/1995,NO
"Dallas, TX",Texas,0,12,'critical/other existing credit',?,996,0,4<=X<7,4,'female div/dep/mar',none,4,'real estate',23,none,?,2,skilled,1,none,No,good,?,11/11/1995,NO
"Harris, TX",Texas,0,6,'all paid',radio/tv,1750,0,>=7,2,'male single',none,4,'life insurance',45,bank,own,1,'unskilled resident',2,none,1,good,?,11/12/1995,1
"Bexar, TX",Texas,-8206.97,48,'existing paid',radio/tv,?,36.37,4<=X<7,1,'male mar/wid',guarantor,1,'real estate',?,none,own,2,skilled,1,yes,Yes,bad,?,11/13/1995,YES
"Los Angeles, CA",California,187.52,12,'critical/other existing credit',?,1995,214.45,<1,4,'male single',none,1,car,27,?,own,1,skilled,1,none,1,good,?,11/14/1995,1
"San Francisco, CA",California,104.1,9,'existing paid',education,1199,90.98,4<=X<7,4,'female div/dep/mar',none,4,'life insurance',67,none,own,2,'high qualif/self emp/mgmt',1,yes,Y,Bad,?,11/15/1995,Y
"Cook, IL",Illinois,32.01,12,?,radio/tv,1331,3.87,<1,2,'male single',none,1,car,22,stores,own,1,skilled,1,none,Y,Bad,?,11/16/1995,Y
"Marion, IN",Indiana,4.96,18,'no credits/all paid','new car',2278,245.49,?,3,'female div/dep/mar',none,3,car,28,none,own,2,skilled,1,none,YES,G,?,11/17/1995,YES
"Orleans, LA",Louisiana,0,21,'no credits/all paid','new car',?,0,1<=X<4,1,'female div/dep/mar',none,4,'life insurance',29,bank,own,2,skilled,1,?,no,G,?,11/18/1995,no
"Baltimore city, MD",Maryland,-7703.31,24,'all paid',furniture/equipment,3552,34.27,4<=X<7,3,'male single',none,4,?,27,bank,own,1,skilled,1,none,y,G,?,11/19/1995,y
"Wayne, MI",Michigan,150.22,18,'critical/other existing credit',furniture/equipment,1928,98.59,<1,?,'male single',none,?,'real estate',31,none,own,2,'unskilled resident',1,none,N,good,?,11/20/1995,n
"Kansas City, MO",Missouri,-6115.25,24,?,'used car',2964,0,>=7,4,'male single',none,?,'no known property',49,bank,'for free',1,skilled,2,yes,Yes,Good,?,11/21/1995,YES
"Essex, NJ",New Jersey,-565.62,24,?,?,1546,34.47,4<=X<7,4,'male single',guarantor,4,car,24,bank,rent,1,?,1,none,Yes,Good,?,11/22/1995,YES
"Clark, NV",Nevada,2165.21,6,'delayed previously',radio/tv,683,76.88,<1,2,'female div/dep/mar',none,1,'life insurance',29,bank,own,1,skilled,1,none,No,G,?,11/23/1995,NO
"New York, NY",New York,16.83,36,'existing paid','new car',12389,0,1<=X<4,1,'male single',none,4,'no known property',37,none,'for free',1,skilled,1,yes,NO,bad,?,11/24/1995,NO
"Philadelphia, PA",Pennsylvania,45.62,?,'delayed previously',business,4712,0,1<=X<4,4,'male single',?,2,'life insurance',37,?,own,2,'high qualif/self emp/mgmt',1,yes,N,G,?,11/25/1995,n
"Dallas, TX",Texas,105.1,24,'delayed previously',radio/tv,1553,427.25,4<=X<7,3,'female div/dep/mar',none,2,'life insurance',23,none,rent,2,skilled,1,yes,Yes,G,?,11/26/1995,YES
"Harris, TX",Texas,-4731.97,12,'existing paid','new car',1372,73.59,?,2,'male div/sep',?,?,?,36,none,own,1,skilled,1,none,n,Good,?,11/27/1995,N
"Bexar, TX",Texas,0,24,'critical/other existing credit',radio/tv,?,0,>=7,2,'male single',none,2,car,34,none,own,1,skilled,1,none,no,GOOD,?,11/28/1995,no
"Los Angeles, CA",California,141.77,48,'existing paid',?,3979,0,4<=X<7,4,'male single',?,1,car,41,none,own,2,skilled,2,yes,YES,good,?,11/29/1995,YES
"Cook, IL",Illinois,-8505.01,48,'existing paid',radio/tv,6758,79.62,1<=X<4,3,'female div/dep/mar',none,2,car,31,none,own,1,skilled,1,yes,n,G,?,11/30/1995,N
"Baltimore city, MD",Maryland,-1076.42,?,'existing paid',furniture/equipment,3234,32.53,?,4,?,?,4,'real estate',23,none,rent,1,'unskilled resident',1,yes,N,G,?,12/1/1995,n
"Wayne, MI",Michigan,0,30,?,radio/tv,5954,0,4<=X<7,?,'male single','co applicant',2,car,38,none,own,1,skilled,1,?,1,good,?,12/2/1995,1
"St. Louis, MO",Missouri,0,?,'existing paid','used car',5433,0,unemployed,2,'female div/dep/mar',none,?,'life insurance',26,none,rent,1,'high qualif/self emp/mgmt',1,yes,No,GOOD,?,12/3/1995,NO
"Clark, NV",Nevada,-7798.75,?,'existing paid',?,806,56.13,1<=X<4,4,'female div/dep/mar',none,4,'life insurance',?,none,?,1,?,1,none,NO,Good,?,12/4/1995,NO
"New York, NY",New York,34.86,9,'existing paid',radio/tv,1082,75.33,>=7,4,'male single',none,4,?,?,none,own,2,'unskilled resident',1,none,N,B,?,12/5/1995,n
"Philadelphia, PA",Pennsylvania,0,15,'critical/other existing credit',furniture/equipment,2788,0,4<=X<7,2,'female div/dep/mar','co applicant',3,?,24,bank,own,2,skilled,1,none,yes,G,?,12/6/1995,yes
"Dallas, TX",Texas,177.2,12,'existing paid',radio/tv,2930,85.34,4<=X<7,2,'female div/dep/mar',none,1,'real estate',27,none,own,1,skilled,1,none,No,bad,?,12/7/1995,NO
"Harris, TX",Texas,0,24,'critical/other existing credit',education,1927,0,1<=X<4,3,'female div/dep/mar',none,2,car,33,none,?,2,skilled,1,yes,yes,good,?,12/8/1995,yes
"Bexar, TX",Texas,198.94,36,'critical/other existing credit','new car',2820,19.45,<1,?,'male div/sep',none,?,?,27,none,own,2,skilled,1,none,YES,Good,?,12/9/1995,YES
"Los Angeles, CA",California,0,24,'existing paid',?,937,0,<1,4,'male mar/wid',none,?,car,?,none,own,2,'unskilled resident',?,none,N,B,?,12/10/1995,n
"Cook, IL",Illinois,15.62,?,'critical/other existing credit','new car',1056,14.8,>=7,3,'male single',guarantor,3,'real estate',30,bank,own,2,skilled,1,?,y,good,?,12/11/1995,y
"Baltimore city, MD",Maryland,11.12,12,'critical/other existing credit','new car',3124,52.67,?,1,'male single',none,3,'real estate',49,bank,own,2,?,2,none,NO,bad,?,12/12/1995,NO
"Wayne, MI",Michigan,0,9,'existing paid',furniture/equipment,1388,0,1<=X<4,4,'female div/dep/mar',none,2,'real estate',26,none,rent,1,skilled,?,none,Yes,GOOD,?,12/13/1995,YES
"St. Louis, MO",Missouri,158.08,36,'existing paid',repairs,2384,59.98,<1,4,'male single',none,1,'no known property',33,none,rent,1,'unskilled resident',1,none,no,GOOD,?,12/14/1995,no
"Clark, NV",Nevada,0,12,'existing paid','new car',2133,0,>=7,4,'female div/dep/mar',none,4,'no known property',52,none,'for free',1,'high qualif/self emp/mgmt',1,yes,No,Bad,?,12/15/1995,NO
